4520,-2908,22504,29.09,-1590,574,767
4760,-2964,21664,29.05,-1432,-614,1038
8656,-2588,26788,29.09,140,-3084,792
3348,-4928,18804,29.14,-1419,1840,1270
1092,-3528,20492,29.00,-1422,1463,867
4748,-5624,20468,29.05,-2031,2389,616
-340,-5868,17740,29.09,-782,-169,-140
984,-3432,17836,28.95,247,-2003,71
2368,-5688,18732,29.05,-932,1152,277
1316,-4120,19108,29.00,194,-2621,416
3448,-4820,17656,29.00,-916,-258,501
1976,-3500,17916,28.95,-1116,875,657
2572,-2848,17016,28.91,-1565,1636,731
2820,-3752,18864,29.00,-735,-937,698
2724,-3460,19400,28.95,-96,-1570,454
352,-2732,19276,28.81,-1416,1419,-336
-3556,-2044,22284,28.95,-388,-2213,-1136
-4136,-2748,16664,28.91,-846,1079,-1152
-5116,-2364,16668,28.91,-833,647,-1511
-4552,-3304,18820,28.86,-247,-1030,-1561
1108,-2424,21596,28.86,-912,798,-489
-48,-3728,17896,28.77,-140,-1156,90
3844,-4312,13096,28.77,-2369,3267,867
4812,-3568,18428,28.72,232,-2841,879
1060,-1732,16312,28.86,-1311,1254,524
1452,-2076,18184,28.77,-951,1185,746
2772,-2744,19424,28.67,-1963,1931,50
3232,-4280,23412,28.67,-244,-2805,-222
-192,-2820,17240,28.67,-351,-1599,-157
-3788,-5700,16116,28.72,-740,1455,-290
-368,1224,23128,28.67,-1958,-1490,-432
-3624,-1540,14488,28.48,-1325,4783,-94
-5884,4936,18648,28.53,-441,208,463
-560,1716,22140,28.58,-678,-771,0
-968,432,14464,28.53,-1509,2525,-645
-4504,-596,14728,28.58,-372,893,-820
-1540,-2376,15796,28.62,-825,999,-607
-1116,-2480,17540,28.53,-273,-499,-524
-1368,620,18704,28.58,-1651,2003,-857
-2072,-1024,19804,28.58,-313,-908,-638
-2176,1896,16288,28.44,-599,36,-780
528,-604,16928,28.53,-977,466,-602
-2828,-3352,15412,28.53,-654,815,-739
692,-4216,19176,28.48,-965,333,-557
-988,-4112,20580,28.48,-547,-849,-652
-964,-3080,21444,28.48,-1141,-261,-784
-428,-3728,18872,28.48,-556,-192,-572
-1236,-3708,18652,28.62,-767,-143,-603
-848,-4168,20020,28.67,-628,-1990,-397
-1300,-3708,18400,28.58,-1175,802,-234
-1044,-3744,17924,28.44,-503,-468,-346
-1944,-5188,16372,28.62,-476,140,-625
-3080,-1060,15168,28.53,-521,697,-851
-560,-1304,17724,28.48,-377,-1084,-526
-1256,-3336,17312,28.48,-786,414,-422
-208,-4016,17596,28.53,-831,310,-435
-616,-5164,18920,28.62,-1084,1286,-380
1908,-3784,19328,28.48,-1090,144,-328
940,-5504,15248,28.58,-1361,1534,656
1888,-6092,19260,28.58,-1237,146,2352
3676,-3460,18884,28.53,-239,-1189,3323
5924,-3116,20928,28.62,-762,-1594,3933
408,-9080,17812,28.53,-1428,540,2394
-1004,-5684,20472,28.53,-988,-511,-965
-2520,-6644,16224,28.53,-329,-456,-700
-2032,-6112,19164,28.62,-1078,89,-719
488,-3260,20360,28.62,-417,-516,25
2016,-4248,17096,28.67,-487,-40,247
1604,-4408,20036,28.58,-746,-1389,-352
-336,-2524,13812,28.53,-1288,2778,-786
-4168,-4624,18728,28.53,-643,-156,-1583
-7068,-2648,11180,28.53,-295,4097,-1398
-4156,-4956,15964,28.53,-551,1304,-1146
900,-5116,19208,28.44,-731,-936,-670
1336,-2624,20152,28.48,-1307,-192,-570
-1724,-5908,15672,28.53,-2319,4856,-656
-3392,-7200,17404,28.62,-1316,2802,-771
408,-3324,19560,28.58,-871,-255,-688
920,-5828,21080,28.53,735,-4813,-925
36,-2564,21096,28.53,-252,-1541,-800
3744,-3992,21224,28.53,-671,-1600,-394
32,-2832,17976,28.48,-1044,1402,-136
-16,-4224,18724,28.53,-890,-161,-317
2056,-2264,17772,28.48,-501,-124,-331
-688,-1340,16584,28.48,-1084,1826,-494
1460,-3372,18348,28.53,-444,-534,-499
3444,-2216,22368,28.53,-727,-1534,-667
-1116,-3628,16704,28.44,-1462,1980,-1065
-1028,-1640,18012,28.44,-166,-2369,-1261
-1152,-1020,17500,28.34,-489,-712,-1310
-3132,-3596,17168,28.44,-599,-148,-1506
-2212,-5112,17124,28.48,-580,-1279,-1692
-5216,-72,22940,28.44,285,-2948,-1625
