 -1312, -6868, 17236,26.37, -1095,   428,  -964
 -1632, -6680, 16784,26.37, -1121,   677,  -943
  -344, -6392, 15200,26.51,  -857,  1113,  -558
 -2756, -6168, 17592,26.41,  -795,   443,  -633
 -1504, -5664, 16132,26.37, -1351,  1640,  -859
 -2256, -7156, 17192,26.37,  -702,  -246,  -855
  -600, -7548, 17528,26.51,  -624, -1245,  -780
  -340, -7788, 16520,26.32, -1399,  -227,  -724
 -2128, -6468, 13028,26.32,  -529,   970,  -681
 -2108, -5348, 17212,26.46,  -837,   379,  -899
 -2548, -6392, 15196,26.32,  -930,   541,  -835
 -2516, -4280, 17604,26.37, -1118,   748,  -836
  -472, -4620, 17184,26.37,  -527,  -639, -1000
   -24, -4044, 17696,26.32,  -661,  -580,  -900
 -1632, -4516, 19024,26.41,  -385, -1598, -1162
  -328, -6324, 18408,26.37,  -878,  -380, -1040
   256, -5392, 16756,26.46,  -388,  -188,  -943
 -1104, -3824, 20124,26.41,  -544, -1810, -1286
 -1204, -3304, 18588,26.51,  -823,  1278,  -985
   436, -4308, 17476,26.37,  -753,  -346,  -954
    -4, -4440, 17252,26.37, -1010,   112,  -911
  1848, -4784, 20884,26.32,  -756,   596,  -666
   548, -4360, 18120,26.41,  -990,   842,  -795
  -824, -4084, 17436,26.37,  -583,   356,  -772
 -1224, -2544, 14064,26.37,  -644,   962,  -846
    92, -3620, 19512,26.41,  -723, -1299,  -971
  1212, -6080, 17908,26.37,  -828,   742,  -707
  -248, -6784, 16508,26.37,  -938,  -598,  -768
 -1916, -5944, 21360,26.51,  -959,   946, -1011
   -68, -7288, 19312,26.51,  -488, -1982, -1552
  1868, -6600, 17660,26.37, -1081,   601,  -964
  -960, -9344, 13652,26.46,  -472,  -328, -1260
 -4292, -4052, 14332,26.32,  -812,   451, -1409
 -3380, -8168, 15292,26.37, -1104,   826, -1222
   460, -6572, 17832,26.46,  -890,   568,  -895
 -1840, -6732, 18576,26.41, -1683,  1846,  -777
  -812, -7124, 19136,26.41,  -492,   409,  -702
 -1100, -5504, 16176,26.46, -1407,  1879,  -254
 -1348, -6532, 14908,26.27,  -408,   420,  -494
   292, -5304, 20704,26.41,  -104,    79,  -506
 -3420, -8224, 17060,26.46, -1438,   995,  -671
 -2072, -3692, 17952,26.46,  -271,   -55,  -528
  5980, -7668, 26228,26.37,  -816,  -396,  -970
 -1604, -5532, 13744,26.41,  -975,  1245,  -134
  1952, -5308, 17356,26.41,   -81,  -617,  -138
  2288, -3648, 18400,26.37,  -419,  -458,  -107
 -5284, -4760,  6924,26.37, -3527,  3599,  1257
  -772,  1812, 19996,26.46,   883, -1355,    84
 -1468, -8880, 18708,26.41,  -439,  2028,   310
 -1708, -5028, 12852,26.41, -1875,  -230,    33
  -736, -3576, 15744,26.46, -1925,   490,   329
 -2364, -3616, 15408,26.46,  -386,   351,   147
  -456, -6636, 16852,26.41, -1440,   847,   331
  -684, -6316, 18188,26.41,  -586,     3,   269
    36, -6056, 19068,26.41,     9,  -882,   129
 -1120, -7192, 18404,26.46, -2123,   504,   287
     0, -6220, 17268,26.46,  -728,  -189,   274
 -3324, -7368, 11500,26.55, -1338,  -867,  -169
 -2224, -6768, 17652,26.41,  -955,   668,   257
   800, -6304, 17208,26.41,   335,  -770,   421
 -1332, -6772, 17372,26.37,  -991,  -363,   186
  -532, -6992, 18632,26.46,  -667,  -709,   352
  -724, -5588, 17092,26.46,   443, -1039,   479
  2064, -6172, 18944,26.41,  -326,  -232,   652
  1448, -6024, 21444,26.41,  -278, -1466,   438
   608, -7580, 16644,26.41,   155, -1023,   554
  1596, -6204, 20340,26.41,  -563,  -132,   773
  2072, -6488, 19472,26.41,   -74, -1363,   675
   520, -5848, 15276,26.41,  -766,  -292,   643
  1416, -5400, 17644,26.46,  -945,  -203,   632
   180, -6948, 17900,26.46,  -610,  -110,   430
  1064, -6452, 19016,26.51,  -550,  -267,   283
  -964, -6012, 16460,26.46, -1360,  -142,   141
  -736, -6360, 18340,26.55,   366,  -949,   140
  1736, -7356, 19144,26.51,   828, -1636,    29
   252, -6268, 17292,26.41,  -798,  -544,  -150
  -404, -6480, 16464,26.46,  -855,   147,  -180
  -264, -4792, 18180,26.46,  -810,   356,   -57
