   644, -7160, 16544,34.46,  -768,   195,  -181
   460, -7344, 16468,34.60,  -761,   194,  -190
   524, -7384, 16772,34.60,  -762,   181,  -180
   544, -7756, 16952,34.55,  -804,   189,  -178
   592, -7592, 16704,34.55,  -772,   183,  -194
   648, -7428, 16480,34.60,  -752,   176,  -183
   592, -7164, 16760,34.60,  -803,   156,  -167
   480, -7816, 17188,34.69,  -811,   168,  -194
   596, -7796, 16672,34.55,  -762,   250,  -199
   624, -7328, 16432,34.55,  -790,   172,  -188
   704, -7380, 16412,34.55,  -751,   175,  -176
   516, -7484, 17312,34.60,  -761,   150,  -187
   488, -7768, 17000,34.60,  -779,   140,  -195
   484, -7404, 15776,34.55,  -687,   278,  -222
   552, -7208, 16508,34.65,  -848,   250,  -167
   468, -7584, 17072,34.65,  -755,   122,  -184
   736, -7664, 16652,34.51,  -786,   214,  -193
   480, -7288, 16564,34.60,  -793,   173,  -179
   744, -7516, 16764,34.55,  -780,   163,  -175
   708, -7476, 16876,34.55,  -787,   139,  -152
   412, -7436, 16396,34.60,  -778,   251,  -177
   688, -7548, 16808,34.60,  -773,   169,  -184
   404, -7616, 16604,34.51,  -775,   188,  -185
   624, -7876, 17176,34.55,  -839,   295,  -183
   900, -7444, 16640,34.55,  -852,   223,  -178
   908, -7720, 16856,34.55,  -878,   246,  -195
   688, -8208, 16772,34.51,  -906,   200,  -192
   248, -7696, 16228,34.51,  -874,   153,  -168
   948, -8344, 16312,34.65,  -925,   171,  -169
   320, -8324, 16692,34.55,  -867,   131,  -197
  1032, -8928, 16180,34.55,  -917,   102,  -179
   364, -9516, 16432,34.65,  -986,   289,  -196
   168, -8908, 16628,34.51,  -906,   141,  -181
   304, -9092, 16084,34.60,  -785,   223,  -175
   164,-10728, 14084,34.65, -1794, -3863,  3889
   480, -9068, 13716,34.55,  -912,     6,  2143
   680, -9932, 15372,34.55,  -868,  -138,  -141
   984,-10364, 15004,34.60,  -836,   323,  -120
