22:48:42.400 ->    400,  -144, 18044,27.07,  -759,   173,  -218
22:48:42.466 ->    436,   -64, 18264,26.93,  -770,   152,  -191
22:48:42.499 ->    376,  -124, 18240,27.07,  -774,   158,  -203
22:48:42.565 ->    376,  -176, 18336,27.12,  -756,   159,  -201
22:48:42.599 ->    388,  -104, 18184,26.98,  -770,   167,  -200
22:48:42.665 ->    412,   -48, 18268,27.02,  -769,   174,  -194
22:48:42.698 ->    324,  -132, 18312,27.07,  -757,   179,  -199
22:48:42.765 ->    348,  -188, 18276,27.02,  -764,   136,  -194
22:48:42.798 ->    440,   -96, 18208,27.07,  -769,   166,  -195
22:48:42.864 ->    352,  -148, 18248,27.02,  -781,   172,  -219
22:48:42.897 ->    220,  -184, 18328,27.07,  -758,   162,  -227
22:48:42.963 ->    348,  -116, 18320,27.07,  -748,   151,  -169
22:48:42.997 ->    424,   -88, 18296,27.07,  -773,   157,  -195
22:48:43.063 ->    380,   -68, 18384,27.02,  -747,   170,  -201
22:48:43.129 ->    452,  -180, 18184,27.07,  -752,   157,  -215
22:48:43.162 ->    512,  -132, 18200,27.02,  -757,   161,  -212
22:48:43.229 ->    364,  -140, 18096,27.07,  -780,   191,  -198
22:48:43.262 ->    444,  -180, 18228,27.02,  -767,   160,  -217
22:48:43.328 ->    388,  -176, 18276,27.12,  -779,   150,  -206
22:48:43.361 ->    352,  -192, 18324,27.07,  -761,   150,  -209
22:48:43.428 ->    480,  -132, 18128,27.12,  -770,   179,  -196
22:48:43.461 ->    364,  -112, 18208,27.17,  -756,   155,  -191
22:48:43.527 ->    280,  -132, 18096,26.93,  -760,   168,  -195
22:48:43.560 ->    392,   -64, 18192,27.07,  -756,   158,  -204
22:48:43.627 ->    384,  -104, 18324,27.12,  -760,   146,  -198
22:48:43.660 ->    284,  -268, 18344,27.07,  -763,   162,  -203
22:48:43.726 ->    304,  -120, 18228,27.12,  -757,   171,  -207
22:48:43.759 ->    312,  -104, 18120,27.07,  -772,   164,  -199
22:48:43.826 ->    396,  -140, 18152,27.12,  -762,   153,  -212
22:48:43.892 ->    424,  -124, 18248,26.98,  -772,   175,  -207
22:48:43.925 ->    440,  -176, 18312,27.12,  -762,   180,  -201
22:48:43.991 ->    452,  -280, 18224,27.07,  -769,   169,  -223
22:48:44.025 ->    336,  -184, 18112,27.12,  -759,   161,  -202
22:48:44.091 ->    400,  -100, 18400,27.07,  -769,   170,  -186
22:48:44.124 ->    380,  -156, 18268,27.02,  -756,   151,  -207
22:48:44.190 ->    372,  -104, 18232,27.07,  -765,   167,  -221
22:48:44.224 ->    376,  -172, 18260,27.12,  -770,   162,  -207
22:48:44.290 ->    436,  -160, 18260,27.07,  -768,   160,  -207
22:48:44.323 ->    264,  -144, 18324,27.07,  -770,   147,  -201
22:48:44.390 ->    372,  -124, 18132,27.07,  -754,   163,  -208
22:48:44.423 ->    344,  -152, 18268,27.02,  -781,   183,  -200
22:48:44.489 ->    452,  -124, 18256,27.07,  -747,   161,  -172
22:48:44.555 ->    400,  -120, 18352,27.21,  -771,   145,  -201
22:48:44.589 ->    396,   -12, 18220,27.26,  -772,   158,  -213
22:48:44.655 ->    384,  -152, 18224,27.17,  -777,   163,  -215
22:48:44.688 ->    436,  -156, 18168,27.12,  -764,   175,  -198
